top_k_percent,effective_feedback_percent,mean_best_val_macro_f1,std_best_val_macro_f1,pooled_oof_test_macro_f1
15,7.5,0.8021126000119431,0.025003651311289173,0.76959038835219
16,8.0,0.7927169427047904,0.03369806819441811,0.7599875529563371
17,8.5,0.8055513785778284,0.03099462608305218,0.7499798790071165
18,9.0,0.8073585009943864,0.03500283035383502,0.7628059116065067
19,9.5,0.8118409852357147,0.036234098575432035,0.743028157606935
20,10.0,0.8026625758191216,0.03704162341322819,0.7528176370389704
21,10.5,0.8094677604781977,0.03325500115944297,0.7609761389857816
22,11.0,0.8065764320806995,0.036229874921260716,0.7602590498290651
23,11.5,0.8060706695589845,0.03683884995113822,0.7624490667550209
24,12.0,0.8075674863064044,0.04147591107813913,0.7600884028374917
25,12.5,0.8123518552001465,0.03693776043068203,0.7518975356278063
26,13.0,0.8058365873993776,0.0373363706356264,0.7623678798019127
27,13.5,0.8030708405596221,0.03708610008064072,0.7539976892426961
28,14.0,0.8107948167279128,0.03666087778666527,0.7513372035409815
29,14.5,0.8031152543712718,0.034703065783207115,0.7667167164840367
30,15.0,0.8115113633886398,0.03627651767148055,0.7593716610428421
31,15.5,0.807577951202666,0.0270530840355753,0.7581599556373136
32,16.0,0.8043838785020269,0.03072111834140062,0.7455600986538002
33,16.5,0.8084682186108075,0.035169316204454175,0.7690785770059181
34,17.0,0.8049887082092256,0.031490515752548895,0.7476615862848709
35,17.5,0.7962443505814938,0.029963995616558374,0.7590619686741417
