top_k_percent,effective_feedback_percent,mean_best_val_macro_f1,std_best_val_macro_f1,pooled_oof_test_macro_f1
15,7.5,0.8128925431519006,0.027546507309848398,0.7701138387060732
16,8.0,0.816246195980052,0.031559384445152466,0.7661430689177637
17,8.5,0.8035241964659068,0.03255449423445879,0.7577647812124348
18,9.0,0.8014882177716907,0.032882677728374915,0.7698151442979029
19,9.5,0.8036869274511268,0.021678885608483064,0.7554886068691222
20,10.0,0.8141605200307301,0.027273138496425497,0.7598225611214012
21,10.5,0.8149946363060465,0.027778714824629763,0.7696685915980521
22,11.0,0.804557748924055,0.025654055442004605,0.754180992478247
23,11.5,0.8031725733064456,0.027898094473157022,0.7576502659246309
24,12.0,0.8100625421858417,0.03956661367940288,0.7526722633412327
25,12.5,0.8009516027713316,0.02787096732209298,0.761036420815838
26,13.0,0.8073720452575754,0.028193663432356304,0.7386169379593961
27,13.5,0.8144390805864685,0.027900621953468104,0.7559226016501558
28,14.0,0.8094339074271406,0.028149765672889765,0.760942494558888
29,14.5,0.8095083123939201,0.033871673473094256,0.7606056629683567
30,15.0,0.8077428140608187,0.031587200200224035,0.7640112376551528
31,15.5,0.8078268542851813,0.031642567743006805,0.7580435485442422
32,16.0,0.8088870213917995,0.032151230216295144,0.7651543089880013
33,16.5,0.8161668229060917,0.027821160462565605,0.7684841523595936
34,17.0,0.8152706691644818,0.027423219982122805,0.7699803465951781
35,17.5,0.8215107463913374,0.025995383900623902,0.7671286529121012
