top_k_percent,effective_feedback_percent,mean_best_val_macro_f1,std_best_val_macro_f1,pooled_oof_test_macro_f1
15,7.5,0.823777097170775,0.02311651474770228,0.8277305921826317
16,8.0,0.8221325654039523,0.02475265048396406,0.8285638932893731
17,8.5,0.824508885162625,0.02180095364226114,0.8286533379659865
18,9.0,0.8221325654039523,0.02475265048396406,0.8296059574439886
19,9.5,0.8244182796896664,0.021901883550308334,0.8271883226628898
20,10.0,0.8221325654039523,0.02475265048396406,0.8282135756759723
21,10.5,0.8234750883780542,0.023011082544308083,0.8240176304597885
22,11.0,0.8221078939969277,0.02468233203826965,0.8299452483022638
23,11.5,0.8239983129655858,0.022289571606726493,0.8338890558997838
24,12.0,0.8236677785568125,0.022680699574203086,0.8273615566217367
25,12.5,0.8236255607127371,0.022731556700016108,0.8273615566217367
26,13.0,0.8291942259656127,0.016331617892373928,0.831439531458565
27,13.5,0.8264924715796479,0.020031763664140157,0.831439531458565
28,14.0,0.8261033168747037,0.02062675881240089,0.8332457867316121
29,14.5,0.8260667749852205,0.02044640805764463,0.8304426745571662
30,15.0,0.8242315900463206,0.02202129518663827,0.8273615566217367
31,15.5,0.8273560766708071,0.018759357674359548,0.831439531458565
32,16.0,0.8228157477187134,0.026041953508106883,0.8300559303059982
33,16.5,0.8265346894237233,0.019967973083747377,0.8328227234299922
34,17.0,0.8244828663377776,0.023758873475357826,0.8399303853704941
35,17.5,0.8242315900463206,0.02202129518663827,0.8301012774746652
