top_k_percent,effective_feedback_percent,mean_best_val_macro_f1,std_best_val_macro_f1,pooled_oof_test_macro_f1
15,7.5,0.8163977330021362,0.03226130626247213,0.7905803124492256
16,8.0,0.8128823766842401,0.023626479830958058,0.7902386835283396
17,8.5,0.8107455673834683,0.03223788092875188,0.7761509095936835
18,9.0,0.8137420971695108,0.030654218380565892,0.7807791635354777
19,9.5,0.8076939869521021,0.03543108557789195,0.7519075717832961
20,10.0,0.8034610431412483,0.031029555833048606,0.7720484323187078
21,10.5,0.8080625783533198,0.02845749972635714,0.7767571731786795
22,11.0,0.8012283764430995,0.034402892134041685,0.7682554317453147
23,11.5,0.7954940536641232,0.04084269065517429,0.7818833496862635
24,12.0,0.7978707230381394,0.03812202017265362,0.762264358930835
25,12.5,0.7884792918221987,0.028504018999594326,0.7502872183771515
26,13.0,0.7850908656127896,0.03683466223043743,0.7679886570910149
27,13.5,0.7966665018472252,0.04336236808059591,0.7778529032436865
28,14.0,0.7989051124439248,0.04506334725280327,0.7901256826048865
29,14.5,0.7934794092182328,0.03421030875758714,0.7698216933598514
30,15.0,0.7931610051553052,0.053457986692301666,0.7583639961750487
31,15.5,0.7999913918872101,0.03749188178780188,0.7666528528239095
32,16.0,0.8064180851797019,0.04071464840969404,0.757532664944107
33,16.5,0.8015103779977875,0.031248876270697088,0.762392495662153
34,17.0,0.7973393414993415,0.045125289490699876,0.7398938153349918
35,17.5,0.8153764858596538,0.025283647005857744,0.7758726879154987
