top_k_percent,effective_feedback_percent,mean_best_val_macro_f1,std_best_val_macro_f1,pooled_oof_test_macro_f1
15,7.5,0.474964736646312,0.02542667208995844,0.4160685090505827
16,8.0,0.4886681523645084,0.0650739209948584,0.43019943108079195
17,8.5,0.4955761477579988,0.035103388958337756,0.40217577254514264
18,9.0,0.4812130722120673,0.03447357993473759,0.4046516308198065
19,9.5,0.49737617059528877,0.040992076263341476,0.3988150137860978
20,10.0,0.48550954742660934,0.06415490298826325,0.4283126792666068
21,10.5,0.5127501180993813,0.03949962819325213,0.41726617875222655
22,11.0,0.5038401670123597,0.027998168083672212,0.42269794424811763
23,11.5,0.49797020348783966,0.03027603583821243,0.4283748020597602
24,12.0,0.46944679908597464,0.05405876795395915,0.4083832176015046
25,12.5,0.502699778927193,0.07708751884747546,0.4257730551737845
26,13.0,0.4920875572477585,0.028212033378163533,0.4268764235979535
27,13.5,0.5157703855229123,0.04791824447267554,0.4620449572661623
28,14.0,0.5008403082787545,0.0546443396371753,0.43309740303107447
29,14.5,0.5101440950076832,0.06917631619448146,0.43899626563031835
30,15.0,0.49800888969210255,0.03479136445061057,0.4269608981952272
31,15.5,0.49021985031886983,0.04412149463484803,0.3988081154685069
32,16.0,0.5029046080854395,0.051001780245791065,0.4218678916144113
33,16.5,0.4940581091636725,0.06289893435410401,0.4045977283065671
34,17.0,0.5045414656680698,0.03974983056144668,0.41044158108966633
35,17.5,0.47027784038877246,0.048414982182133796,0.4064416613992482
