top_k_percent,effective_feedback_percent,mean_best_val_macro_f1,std_best_val_macro_f1,pooled_oof_test_macro_f1
15,7.5,0.5233044652636478,0.03507120549595602,0.4976313070903516
16,8.0,0.524087421389266,0.033863726278812595,0.501235158160148
17,8.5,0.5275464374779869,0.03557183925731664,0.5004486749110753
18,9.0,0.522649768493039,0.03604192278609105,0.50041119871442
19,9.5,0.5232529508402237,0.03538700698748212,0.50021853482836
20,10.0,0.5210312442359788,0.03746776120715869,0.493196300012327
21,10.5,0.5218231813951549,0.03611759349335775,0.49649100789864054
22,11.0,0.5239984319086319,0.035612797551742285,0.5020511122500362
23,11.5,0.5208210431194195,0.0370448307264989,0.49530784714126086
24,12.0,0.5228012429112129,0.039354057446562556,0.49847227196966015
25,12.5,0.5201538706495967,0.03828210044320408,0.5001918582234242
26,13.0,0.5261917759214281,0.03700370660253044,0.5082511222640447
27,13.5,0.5231084572395819,0.03522479773326592,0.5091124272038698
28,14.0,0.5278762406931421,0.032549446209147445,0.5171680866689266
29,14.5,0.5242898042923617,0.03900751893605751,0.5202250042789215
30,15.0,0.5288893925297151,0.03267933233244745,0.5143203755240258
31,15.5,0.5230479811832309,0.03909502071281854,0.513138131409141
32,16.0,0.5185318580238765,0.03927873238358231,0.5107881178516979
33,16.5,0.5241552387728117,0.03590597395178481,0.5037078919531628
34,17.0,0.5162984776078396,0.042252931493276386,0.5058166033755718
35,17.5,0.5279357147064493,0.03578709926493102,0.5073118161803355
