top_k_percent,effective_feedback_percent,mean_best_val_macro_f1,std_best_val_macro_f1,pooled_oof_test_macro_f1
15,7.5,0.5161788752975499,0.04385978177964856,0.4973365763942988
16,8.0,0.5296899651783586,0.04181448981646099,0.49854816237783617
17,8.5,0.5265501114798935,0.04908259747534649,0.5019342031169616
18,9.0,0.5171577329825278,0.0466251314474599,0.5003193386143269
19,9.5,0.520868840344443,0.04450487437927695,0.49956680886260596
20,10.0,0.5168563729864054,0.045223111944175574,0.4995523159372
21,10.5,0.5143136887360181,0.042922462897889674,0.4985879077786989
22,11.0,0.5178419768996814,0.04731668402734811,0.4912914257125503
23,11.5,0.5228501944431739,0.04589140947329712,0.5093675670051339
24,12.0,0.5196395772540671,0.04496827468240738,0.49266391399672443
25,12.5,0.5245983193041488,0.0474874165809013,0.5064255381746807
26,13.0,0.518906014373072,0.04672320476096006,0.5069852617918882
27,13.5,0.5140721078270982,0.04851133121686161,0.4923864639442104
28,14.0,0.5233516506718666,0.04837510599735135,0.5136842063258458
29,14.5,0.5192437711607729,0.04717406093349231,0.4978215495031192
30,15.0,0.5168090320077914,0.04303328642204405,0.4980833693868578
31,15.5,0.5253388364587491,0.042866922179339635,0.5001496219127939
32,16.0,0.524005634577995,0.04287282944669,0.5125436446675912
33,16.5,0.5256143379511893,0.04211031113361501,0.5036730603942077
34,17.0,0.530937688578364,0.04287669809229092,0.5146214663000217
35,17.5,0.5205446704398692,0.04341130151675342,0.5065503414040506
