top_k_percent,effective_feedback_percent,mean_best_val_macro_f1,std_best_val_macro_f1,pooled_oof_test_macro_f1
15,7.5,0.8246558088744917,0.021212605603243766,0.8344408523816302
16,8.0,0.8271263971097857,0.020401631076255644,0.8321584322184563
17,8.5,0.8255559022451733,0.020785212228773144,0.8372879408060342
18,9.0,0.8243914980219456,0.0213113492966123,0.8350514908172647
19,9.5,0.828807614375434,0.02482980826700368,0.8331481829775005
20,10.0,0.8288201542023664,0.024986008577642948,0.8268512947952287
21,10.5,0.8243914980219456,0.0213113492966123,0.8328451647503788
22,11.0,0.8303906490669789,0.024459132158508815,0.8320706067901684
23,11.5,0.824513006091385,0.021416273504423138,0.8390991108641301
24,12.0,0.8306269473578631,0.024129901715653976,0.8318547188283295
25,12.5,0.8266927167550528,0.02520381764131271,0.8340936028931447
26,13.0,0.8255131164003788,0.02078846611795795,0.8298237091026509
27,13.5,0.8244457966644795,0.02130672779212524,0.8338603957113774
28,14.0,0.8244457966644795,0.02130672779212524,0.8316247725122896
29,14.5,0.8284313093185718,0.020447697063427087,0.8332390262699155
30,15.0,0.8243914980219456,0.0213113492966123,0.8340936028931447
31,15.5,0.8244970787157616,0.02130287044868277,0.8350672771364336
32,16.0,0.8244970787157616,0.02130287044868277,0.8351380756599471
33,16.5,0.8244970787157616,0.02130287044868277,0.8340936028931447
34,17.0,0.8252006986252637,0.022552621405405038,0.8363852185324632
35,17.5,0.8267982974488689,0.025187004102647105,0.8370633840423943
